epoch,accuracy,loss
0,9.808195292,4.017979732
1,16.31793083,3.629498012
0,9.895379249,3.970301193
1,14.78736801,3.693831842
0,8.984791242,4.038762362
1,13.88646711,3.748166449
2,20.36714133,3.442159273
3,29.390681,2.942294795
4,34.91717524,2.689856074
5,25.92754044,3.12062523
6,30.54344667,2.851272325
7,31.1924828,2.834382608
8,35.96822629,2.584976399
9,39.64932675,2.43444652
0,4.397946333,4.374802405
1,14.08020924,3.708088769
2,20.56088346,3.329663394
3,29.78300881,2.906203071
4,34.58781362,2.660448102
5,26.38283445,3.077111709
6,27.70512448,3.0753329
0,10.60738157,3.895284221
1,17.69349995,3.470859423
2,23.8302819,3.18335446
3,29.60379735,2.93429805
4,37.44066647,2.521658032
5,24.7408699,3.223720741
6,31.21185702,2.767297883
7,32.55836481,2.743977173
8,34.31173109,2.692397758
9,42.13891311,2.292910406
10,43.54838709,2.246729329
11,48.64380509,1.995477267
12,53.34689528,1.80647306
13,57.31376537,1.642588133
14,59.18822048,1.565454838
15,40.10462075,2.374327154
16,40.90380703,2.366324151
17,38.12360748,2.602222281
18,45.4228422,2.133061055
19,48.06742226,2.037278533
20,45.28237916,2.144919424
21,53.87484258,1.789680017
22,50.17921147,1.939065203
23,53.81187639,1.785454438
24,53.51641965,1.823475347
25,56.71316477,1.670457025
26,58.85401531,1.586696707
27,58.66511673,1.582901348
28,63.89615422,1.39377116
29,65.95466434,1.289856405
30,67.53366269,1.225930096
31,68.61861862,1.179789327
32,69.92637799,1.128154312
33,70.93383706,1.101583956
34,71.16632762,1.085574164
35,46.12031386,2.178601045
36,48.75520682,2.044529774
37,47.67509445,2.097671563
38,50.38748426,1.961307591
39,47.08902451,2.186507464
40,50.88152669,1.944836115
41,47.28761019,2.102833669
42,49.08941199,2.025436691
43,48.84723433,2.028857073
44,50.88152669,1.972716238
45,51.22057541,1.948598444
46,52.71723336,1.885916017
47,53.85062482,1.838478081
48,54.89683232,1.769889059
49,55.97210113,1.756079126
50,56.98440376,1.667310727
51,58.01608059,1.624868013
52,60.97064807,1.540982005
53,56.92143756,1.708085823
54,61.71171171,1.475086621
55,62.18153637,1.46690023
56,63.83318802,1.377062943
57,63.74116051,1.388428046
58,65.57686719,1.327271534
59,65.286254,1.332722848
60,66.61823114,1.283513438
61,68.47815558,1.205606916
62,68.40550228,1.213793557
63,70.59478834,1.125570389
64,72.06722852,1.060245313
65,72.30940617,1.053101104
66,72.77438729,1.02976341
67,73.839969,0.996103538
68,74.55681487,0.966383509
69,74.80867965,0.94446538
70,75.75317252,0.939528717
71,75.60786593,0.918780555
72,75.90816623,0.916794368
73,76.5329846,0.899454262
74,76.25690207,0.899250047
75,44.27492008,2.254077205
76,45.18550809,2.382377337
77,50.35842294,1.985706401
78,51.4288482,1.945492485
79,46.59498208,2.222715505
80,49.27831057,2.03953147
81,50.36326649,2.013591921
82,52.32490555,1.890828238
83,55.12447932,1.781213489
84,51.57899835,1.890499276
85,53.23549356,1.869338445
86,54.70309019,1.83994311
87,53.00784656,1.898330825
88,55.61852174,1.774690237
89,57.16845878,1.66412909
90,56.39349026,1.761820944
91,48.32897414,2.289635651
92,57.69640608,1.692730731
93,54.41247699,1.787689648
94,52.59130098,1.896794944
95,56.36927249,1.703627451
96,58.53434079,1.608112153
97,54.68855953,1.820933914
98,59.34321418,1.57257223
99,57.76905938,1.657122677
100,60.34098614,1.557239905
101,58.69417805,1.640769819
102,62.02169912,1.518504626
103,61.54218734,1.507800831
104,59.98256321,1.569951826
105,59.69195001,1.579022809
106,57.870774,1.718672624
107,62.60776906,1.471219592
108,63.89131067,1.40758506
109,59.34321418,1.612597732
110,62.18153637,1.456640192
111,62.76760631,1.491230341
112,63.63460234,1.415055263
113,64.74377603,1.34030087
114,65.2329749,1.343692652
115,63.76053473,1.409776643
116,64.53550325,1.387299858
117,64.94236171,1.348636944
118,65.41218638,1.326289937
119,65.98856921,1.327212671
120,66.01278698,1.300895471
121,64.42894508,1.396453123
122,66.63276179,1.299602517
123,65.35890729,1.379293175
124,67.52397558,1.245243483
125,69.09813038,1.187710934
