Epoch,Accuracy,Loss
0,85.6,0.509225518
1,86.54,0.480923883
2,89.42,0.42016901
3,92.11,0.330471588
4,93.08,0.284033083
5,86.41,0.508046011
6,87.89,0.456215802
7,88.28,0.423919133
8,87.81,0.448294014
9,90.21,0.362116912
10,91.53,0.348143145
11,92.08,0.33743982
12,92.68,0.316760546
13,93.06,0.301807508
14,93.23,0.299079642
15,87.15,0.456526852
16,88.44,0.415440238
17,86.8,0.521437652
18,88.27,0.423280838
19,88.61,0.424224192
20,87.11,0.556717247
21,88.32,0.467691317
22,89.11,0.471464687
23,89.58,0.410457209
24,90.92,0.375873798
25,91.65,0.395911435
26,92.19,0.351378565
27,92.81,0.330517383
28,93,0.345346736
29,93.41,0.311108996
30,93.54,0.316655509
31,93.64,0.310412154
32,93.8,0.31007104
33,93.89,0.313809985
34,93.8,0.310526556
35,86.81,0.482650769
36,87.92,0.435513472
37,89.99,0.373354946
38,89.14,0.412654288
39,87.32,0.490577124
40,88.39,0.4103562
41,88.28,0.47122336
42,89.91,0.396782309
43,89.21,0.431853587
44,89.32,0.386055785
45,89.19,0.447498067
46,88.74,0.457495811
47,89.49,0.421249615
48,89.06,0.432226926
49,89.49,0.427105611
50,90.98,0.363241383
51,91.15,0.37263469
52,91.12,0.403640903
53,91.16,0.397594515
54,91.51,0.380261374
55,91.47,0.374030136
56,92.17,0.356084067
57,92.37,0.360433964
58,92.88,0.347179843
59,92.75,0.363539003
60,92.93,0.355685538
61,92.96,0.374431608
62,93.15,0.366900873
63,93.04,0.374005172
64,93.4,0.349657443
65,93.45,0.341870036
66,93.66,0.339560201
67,93.76,0.342094924
68,93.71,0.341577387
69,93.67,0.339947139
70,93.85,0.339544591
71,93.82,0.339371385
72,93.78,0.337943135
73,93.83,0.337406839
74,93.8,0.339010931
75,83.19,0.682347621
76,87.06,0.490440472
77,85.58,0.566401558
78,89.06,0.378674245
79,87.61,0.501929839
80,90.36,0.350480608
81,89.92,0.372206588
82,89.19,0.39525938
83,90.2,0.370568836
84,88.8,0.429310601
85,89.24,0.404171233
86,90.19,0.371695839
87,89.63,0.421648532
88,91.06,0.36624637
89,89.14,0.440881639
90,90.11,0.367836041
91,89.02,0.457071178
92,89.04,0.46685742
93,89.7,0.434017428
94,90.49,0.38090681
95,90.8,0.341001442
96,90.61,0.395351873
97,90.81,0.384089747
98,89.05,0.468129822
99,89.71,0.408403138
100,89.55,0.40766755
101,90.26,0.43791527
102,91.61,0.355761013
103,89.43,0.46235099
104,91.12,0.358137388
105,90.73,0.40237779
106,91,0.383145618
107,91.35,0.377313276
108,90.68,0.408768301
109,91.01,0.406453367
110,91.33,0.363270282
111,91.51,0.364023063
112,91.4,0.394565577
113,91.76,0.363858332
114,91.26,0.429862307
115,91.77,0.382795257
116,91.67,0.438405388
117,92.56,0.356812875
118,92.09,0.372444933
119,91.71,0.411117395
120,91.93,0.418520124
121,92.39,0.397127654
122,92.87,0.362811179
123,92.51,0.369597871
124,93.12,0.361134407
125,93.44,0.349561697
126,93.22,0.369567631
127,93.57,0.334395329
128,93.26,0.35947704
129,93.37,0.362628905
130,93.67,0.342641295
131,93.79,0.344080217
132,93.94,0.337464808
133,93.73,0.340440386
134,93.72,0.355052758
135,93.77,0.334720826
136,93.79,0.334045609
137,93.78,0.34527977
138,93.89,0.337313508
139,93.82,0.337467722
140,93.88,0.333805174
141,93.98,0.339308781
142,94.04,0.337137973
143,93.99,0.336770857
144,93.99,0.333968286
145,94.07,0.333763949
146,94.08,0.328886424
147,94.04,0.329704489
148,94,0.328981256
149,94.06,0.328646139
150,94.03,0.330649152
151,94.01,0.328693134
152,93.99,0.328959892
153,94.08,0.330891501
154,94.05,0.329902695
