Epoch,Accuracy,Loss
0,34.59,1.822679355
1,43.81,1.505281537
2,57.35,1.187916975
3,65.99,0.961198171
4,71.44,0.800570035
5,66.23,0.996679834
6,74.41,0.764186196
7,76.87,0.678531477
8,77.83,0.655466574
9,79.88,0.589016195
10,83.95,0.480851644
11,83.91,0.496470765
12,86.34,0.424983436
13,88.28,0.36297494
14,88.47,0.357222142
15,79.1,0.629668866
16,77.19,0.698393847
17,81.58,0.545684355
18,83.66,0.496469696
19,83.77,0.496826127
20,84.34,0.472251893
21,86.71,0.397655347
22,86.39,0.406894189
23,87.52,0.384926983
24,86.94,0.423101891
25,88.79,0.359382868
26,88.41,0.374783401
27,89.96,0.356718254
28,89.82,0.34429088
29,90.3,0.343702069
30,90.95,0.341250946
31,91.32,0.363402299
32,91.28,0.375963664
33,91.39,0.378086497
34,91.52,0.379281571
35,83.28,0.523244311
36,86.15,0.445862257
37,86.13,0.42885539
38,84.41,0.509859438
39,86.78,0.41866118
40,87.07,0.411514338
41,86.9,0.421300764
42,87.65,0.396038986
43,86.01,0.458827226
44,87.68,0.405411444
45,87.49,0.405501967
46,88.61,0.352933996
47,87.68,0.439621777
48,88.32,0.388138786
49,86.75,0.500612599
50,86.94,0.474941108
51,89.79,0.362378362
52,88.09,0.45808144
53,90.21,0.339489094
54,89.65,0.390229165
55,90.11,0.387752713
56,90.42,0.369939792
57,90.81,0.349099438
58,90.85,0.381663493
59,91.05,0.37774293
60,91.55,0.388235265
61,91.05,0.407506231
62,91.59,0.413495721
63,91.91,0.378866347
64,91.88,0.406853332
65,92.38,0.399470304
66,92.37,0.403459534
67,92.5,0.405904286
68,92.52,0.412444539
69,92.7,0.416139153
70,92.67,0.411411606
71,92.9,0.409451748
72,92.71,0.412394563
73,92.8,0.410717801
74,92.76,0.411305086
75,83.52,0.560404703
76,88.1,0.382949214
77,87.25,0.407889812
78,85.39,0.479633887
79,88.38,0.38838107
80,87.32,0.438153573
81,85.08,0.498765515
82,87.5,0.411588222
83,87.72,0.413874453
84,86.18,0.50086668
85,88.86,0.389858439
86,85.95,0.534460848
87,87.08,0.486277573
88,88.57,0.397129627
89,88.08,0.42291681
90,88.11,0.411537856
91,88.98,0.397637733
92,88.52,0.38447658
93,88.15,0.447079373
94,87.42,0.482480642
95,89.09,0.389959234
96,89.4,0.367559493
97,89.73,0.362312194
98,88.25,0.45942511
99,89.75,0.35205286
100,89.55,0.375173503
101,89.91,0.378548256
102,89.68,0.395104909
103,90.13,0.361792987
104,89.45,0.387422101
105,88.03,0.463449333
106,88.8,0.438111319
107,90.68,0.350866703
108,90.21,0.383375356
109,89.76,0.369098426
110,90.83,0.351025053
111,90.84,0.395643673
112,90.13,0.383817636
113,90.48,0.369053691
114,91.23,0.381649823
115,90.77,0.386332384
116,91.2,0.374005636
117,91.3,0.380368384
118,89.5,0.452686216
119,91.69,0.356487758
120,91.29,0.404072675
121,91.98,0.371094388
122,92.1,0.368610087
123,91.49,0.410748682
124,91.25,0.431535808
125,92.58,0.368174222
126,92.11,0.389533902
127,91.7,0.450753818
128,92.49,0.420700374
129,92.66,0.412620901
130,92.85,0.380963957
131,92.53,0.416756603
132,92.73,0.406237258
133,93,0.397117854
134,93.05,0.398495543
135,93,0.411430428
136,93.28,0.398095665
137,93.33,0.411834957
138,93.29,0.407573487
139,93.36,0.410107139
140,93.24,0.406403554
141,93.34,0.409464097
142,93.43,0.404588111
143,93.42,0.411904781
144,93.39,0.411159749
145,93.41,0.400921442
146,93.35,0.410013888
147,93.53,0.405043617
148,93.38,0.406217256
149,93.32,0.405879237
150,93.39,0.40604439
151,93.4,0.404517506
152,93.43,0.406138608
153,93.43,0.408730734
154,93.34,0.40530639
