Epoch,Accuracy,Loss
0,21.37,3.273389723
1,32.69,2.72448042
2,41.95,2.240999017
3,47.15,2.000348056
4,52.64,1.756700706
5,37.27,2.598874724
6,50.29,1.902095546
7,52.8,1.783295163
8,55.26,1.666557697
9,56.87,1.600672863
10,60.2,1.464530867
11,62.15,1.393707005
12,63.18,1.359154152
13,64.64,1.333281549
14,65.4,1.307588218
15,54.66,1.782065972
16,55.67,1.70708857
17,56.46,1.685319102
18,58.97,1.600079318
19,59.15,1.545023052
20,60.3,1.538630323
21,61,1.547880205
22,61.62,1.558335736
23,62.17,1.550070097
24,63.56,1.495938125
25,64.07,1.465287001
26,64.86,1.44800792
27,65.64,1.447151081
28,66.8,1.445380305
29,67.22,1.459485825
30,67.8,1.463913383
31,67.76,1.450795072
32,68.3,1.455079635
33,68.14,1.459144519
34,68.35,1.456039157
35,58.27,1.729400793
36,57.33,1.893913914
37,61.37,1.576788805
38,57.87,1.845964615
39,61.09,1.613595275
40,59.96,1.690804253
41,61.5,1.589998868
42,62.57,1.564118493
43,61.74,1.646039521
44,62.03,1.661376571
45,63.12,1.581601362
46,62.85,1.59511322
47,63.45,1.596541694
48,63.58,1.631078971
49,63.32,1.627851604
50,64.26,1.652151047
51,64.52,1.608125365
52,64.65,1.640056148
53,64.5,1.676025481
54,65.3,1.616361154
55,65.79,1.61322682
56,66.14,1.680477177
57,65.8,1.701340963
58,67.09,1.660184526
59,67.15,1.640215974
60,67.09,1.683055631
61,67.93,1.661198256
62,67.92,1.70747627
63,68.71,1.700078818
64,68.75,1.708076376
65,69.24,1.697496878
66,69.3,1.693737953
67,69.61,1.689277398
68,69.73,1.694711274
69,69.99,1.698976645
70,69.78,1.712740842
71,70.07,1.705766743
72,70.09,1.703645925
73,69.98,1.707817223
74,70.26,1.702098859
75,57.15,1.8423244
76,60.96,1.765984453
77,59.72,1.761680597
78,62.26,1.64655408
79,61.93,1.702111364
80,60.65,1.760240091
81,61.22,1.787555226
82,62.4,1.70555559
83,62.2,1.731665754
84,61.67,1.715295072
85,63.96,1.628898278
86,62.62,1.652978032
87,61.59,1.751451211
88,63.31,1.654705261
89,62.06,1.765780008
90,62.82,1.771098381
91,63.65,1.682668633
92,63.7,1.718834141
93,63.78,1.704176968
94,62.67,1.761166451
95,63.66,1.74108903
96,63.63,1.759334436
97,62.51,1.806912657
98,64.68,1.689700453
99,63.74,1.7379984
100,63.86,1.763715138
101,64.98,1.691004761
102,63.99,1.727384863
103,64.9,1.704876054
104,64.97,1.736947879
105,64.95,1.7398783
106,64.92,1.759100946
107,64.87,1.790043461
108,65.4,1.776055909
109,65.62,1.686527358
110,65.57,1.825694041
111,65.03,1.828085528
112,65.98,1.818989922
113,65.6,1.79531886
114,66.6,1.736986262
115,65.97,1.801436961
116,66.43,1.838624153
117,67.1,1.716069864
118,67.12,1.754249138
119,67.53,1.792861022
120,66.84,1.830450111
121,67.1,1.836881015
122,68.04,1.794169113
123,68.66,1.738156147
124,68.01,1.827049893
125,67.9,1.811715443
126,68.86,1.801515581
127,68.78,1.83260444
128,68.62,1.82591124
129,69.02,1.784822582
130,69.82,1.808946139
131,69.54,1.801272942
132,69.46,1.791875895
133,69.9,1.787457416
134,70.46,1.770617464
135,70.04,1.785860686
136,70.93,1.771529523
137,70.51,1.793071384
138,70.8,1.778365077
139,70.72,1.787020894
140,70.65,1.793697926
141,70.98,1.770881182
142,71,1.782317364
143,70.96,1.78910117
144,71,1.779390741
145,71.23,1.793650007
146,71.2,1.776748652
147,71.11,1.788153283
148,71.12,1.777047425
149,71.2,1.774901528
150,71.28,1.777796677
151,71.27,1.777624039
152,71.26,1.773064182
153,71.2,1.773428891
154,71.22,1.776488416
0,58.76,1.866625047
1,61.82,1.684079633
2,64.94,1.640292824
3,68.42,1.515020405
4,70.66,1.452473213
5,61.22,1.726586814
6,61.27,1.793366758
7,64.01,1.660190849
8,63.2,1.701159112
9,66.8,1.626183479
10,67.82,1.598636796
11,69.14,1.571030243
12,70.48,1.54959973
13,71.1,1.520811217
14,71.09,1.52466118
15,59.7,1.910218723
16,60.17,1.795618202
17,59.36,1.977481428
18,62.04,1.827285228
19,63.95,1.631368144
20,63.99,1.763808468
21,64.17,1.710597062
22,64.62,1.699787034
23,66.51,1.676451159
24,66.93,1.78669451
25,68.24,1.703008789
26,69.71,1.701176774
27,69.57,1.680194107
28,70.03,1.675766072
29,70.75,1.65272105
30,71.23,1.644042577
31,71.59,1.642811053
32,71.43,1.637971501
33,71.47,1.646211175
34,71.67,1.634809507
35,61.47,1.846212593
36,62.22,1.774164924
37,62.46,1.786595362
38,62.81,1.739043694
39,60.84,1.877182269
40,63.47,1.741431552
41,60.68,1.961489302
42,64.15,1.712761594
43,65.44,1.711217891
44,63.91,1.808362988
45,63.36,1.727604067
46,63.75,1.84151455
47,65.73,1.705897019
48,64.62,1.768220638
49,63.18,1.926864717
50,66.55,1.720465488
51,65.73,1.793351879
52,67.28,1.831748603
53,66.72,1.765781582
54,67.75,1.728031049
55,67.59,1.736419505
56,68.27,1.754207703
57,68.39,1.781810812
58,69.23,1.727179195
59,69.44,1.761060366
60,69.61,1.741473379
61,70.2,1.721961501
62,70.91,1.743613485
63,70.97,1.735562237
64,70.85,1.725876777
65,71.1,1.738350788
66,71.14,1.728357291
67,71.47,1.728845451
68,71.46,1.715401093
69,71.69,1.699993996
70,71.54,1.712366043
71,71.71,1.711684989
72,71.76,1.709570547
73,71.81,1.715313182
74,71.72,1.712268401
75,61.43,1.839099401
76,58.59,2.012482894
77,62.64,1.72677574
78,62.78,1.699368676
79,61.51,1.831812981
80,63.45,1.697109649
81,62.72,1.749590516
82,64.73,1.646170869
83,62.89,1.779860676
84,63.1,1.819795524
85,63.82,1.719464938
86,63.96,1.672803974
87,63.64,1.813310331
88,64.28,1.683737291
89,65.27,1.667298169
90,64.91,1.719902743
91,63.57,1.780300198
92,64.38,1.80225408
93,64.49,1.790651698
94,63.69,1.807679928
95,65.05,1.660677106
96,64.3,1.802842595
97,63.75,1.846189738
98,64.56,1.822196564
99,64.94,1.701453935
100,64.96,1.82283909
101,63.99,1.869417929
102,65.54,1.750201031
103,65.38,1.735712205
104,65.43,1.753266327
105,66.35,1.825591754
106,66.9,1.77271109
107,66.7,1.813491483
108,66.76,1.795926644
109,67.13,1.772813448
110,65.92,1.798496609
111,67.32,1.785309794
112,66.58,1.937553856
113,66.72,1.804433554
114,66.91,1.847482049
115,67.64,1.874366183
116,67.82,1.843565994
117,68.74,1.77040797
118,68.58,1.825589723
119,68.06,1.823955419
120,69.15,1.805419721
121,69,1.77135717
122,67.88,1.9268639
123,69.2,1.842905776
124,69.98,1.779323565
125,70.01,1.787509996
126,70.23,1.738884256
127,70.41,1.809791228
128,70.62,1.788334524
129,70.66,1.79089655
130,71.11,1.766999557
131,71.2,1.766395361
132,71.38,1.752835195
133,70.93,1.751360383
134,71.31,1.739789476
135,71.45,1.741184083
136,71.47,1.739535376
137,71.86,1.735813243
138,71.79,1.747841975
139,71.56,1.732033551
140,71.8,1.727449141
141,72.15,1.717404245
142,71.9,1.735871478
143,72,1.733605088
144,71.98,1.74251411
145,72.03,1.732422882
146,72.1,1.735714405
147,72.12,1.732287196
148,72.16,1.732648658
149,72.21,1.728890561
150,72.19,1.721543673
151,72.26,1.7288113
152,72.28,1.723940466
153,72.25,1.730950922
154,72.24,1.731604976
