Epoch,Accuracy,Loss
0,20.77,3.337255383
1,29.49,2.829238418
2,36.79,2.467334159
3,45.9,2.052133067
4,51.6,1.805312189
5,42.65,2.212440308
6,47.25,1.995144194
7,47.57,2.013128001
8,52.78,1.811457814
9,56.23,1.624178225
10,59.04,1.529650914
11,60.09,1.492412195
12,62.68,1.413358016
13,64.32,1.348919261
14,65.15,1.317979208
15,55.07,1.690710943
16,54.91,1.741627952
17,59.13,1.56573342
18,58.02,1.616222721
19,56.94,1.695083802
20,58.85,1.648787706
21,59.03,1.631164197
22,60.9,1.496700794
23,61.49,1.48439184
24,61,1.550382709
25,63.02,1.493322729
26,64.05,1.469471498
27,64.47,1.480930441
28,66.42,1.397630152
29,66.47,1.429175346
30,67.11,1.399863267
31,67.58,1.390720003
32,68.06,1.390611913
33,67.82,1.380774662
34,68.06,1.383959306
35,56.48,1.804857417
36,56,1.812142116
37,59.02,1.702158909
38,59.29,1.576654971
39,59.72,1.665034814
40,59.63,1.602024916
41,60.53,1.630325247
42,60.94,1.576988692
43,61.43,1.636309017
44,60.03,1.673045929
45,61.28,1.617326932
46,61.63,1.636429685
47,61.46,1.631901201
48,62.52,1.582981725
49,63.33,1.60376774
50,62.62,1.644628077
51,64.48,1.555561241
52,63.84,1.658319128
53,64.83,1.590089156
54,65.4,1.626511383
55,65.56,1.542309814
56,65.75,1.640103277
57,67.07,1.556857927
58,66.83,1.612455112
59,67,1.640754099
60,67.41,1.620217996
61,67.94,1.662849508
62,68.7,1.630865231
63,68.46,1.636288791
64,69.15,1.609963061
65,69.25,1.644646417
66,69.77,1.624350099
67,69.51,1.609034359
68,69.72,1.622545828
69,69.82,1.627711679
70,69.79,1.63447548
71,69.92,1.635124714
72,69.89,1.632305809
73,69.71,1.625085411
74,69.85,1.623479775
75,57.13,1.863796408
76,60.05,1.728346402
77,58.32,1.788554883
78,60.44,1.678746693
79,60.32,1.71662694
80,58.14,1.899509482
81,59.27,1.754997087
82,60.47,1.760770603
83,62.22,1.577355322
84,61.13,1.673368214
85,61.91,1.666245281
86,61.94,1.665186187
87,60.99,1.73008905
88,63.34,1.650170893
89,60.88,1.82280583
90,63.25,1.644599403
91,62.41,1.6343861
92,61.63,1.75535159
93,62.43,1.585331342
94,62.32,1.705213184
95,62.97,1.688623805
96,62.49,1.728946641
97,64.98,1.580062148
98,63.14,1.698808474
99,62.97,1.712677771
100,64.18,1.667172666
101,63.37,1.692257865
102,64.17,1.787061525
103,64.39,1.6809038
104,64.6,1.68931266
105,64.24,1.702391955
106,64.99,1.71529193
107,65.65,1.73442804
108,63.3,1.865086944
109,64.83,1.784666317
110,65.16,1.678926081
111,64.56,1.856621597
112,65.34,1.79377502
113,66.92,1.694898067
114,65.79,1.766917179
115,66.36,1.728702777
116,66.93,1.774326466
117,67.56,1.701831822
118,67.28,1.766573349
119,67.17,1.760506222
120,67.26,1.763063019
121,67.35,1.813033554
122,67.42,1.745693145
123,68.19,1.747783934
124,68.77,1.739936111
125,68.89,1.735231577
126,68.52,1.733412254
127,69.43,1.711581623
128,69.45,1.729530217
129,69.77,1.763704351
130,70.15,1.717670168
131,70.47,1.702310416
132,70.71,1.704069167
133,70.32,1.705515963
134,71.18,1.69863636
135,71.2,1.689536143
136,70.97,1.692791142
137,71.38,1.670011395
138,71.29,1.690060933
139,71.19,1.689407507
140,71.36,1.692381282
141,71.22,1.679407994
142,71.52,1.667934906
143,71.54,1.676895715
144,71.46,1.680232747
145,71.47,1.678788568
146,71.78,1.674372482
147,71.75,1.667379589
148,71.84,1.671100493
149,71.87,1.67036788
150,71.71,1.668258934
151,71.88,1.667022895
152,71.74,1.664178699
153,71.73,1.671078552
154,71.76,1.666893123
