Epoch,Accuracy,Loss
0,86.5,0.437440677
1,87.33,0.440066842
2,88.8,0.396388006
3,90.62,0.328856631
4,92.37,0.284337242
5,85.8,0.465427214
6,87.82,0.398957314
7,87.71,0.365722976
8,88.71,0.375946211
9,89.98,0.338475809
10,90.89,0.314665177
11,91.17,0.312784767
12,91.94,0.307779086
13,92.28,0.311402326
14,92.77,0.301253005
15,86.94,0.458899268
16,85.67,0.482067196
17,85.95,0.466075721
18,88.32,0.378919352
19,88.48,0.367795426
20,87.14,0.449434575
21,87.61,0.434693196
22,89.4,0.357441522
23,90.08,0.331379834
24,89.49,0.377072981
25,89.98,0.368064761
26,91.04,0.339746417
27,91.42,0.359597238
28,91.26,0.348612643
29,92.13,0.317686171
30,92.32,0.324758795
31,92.52,0.320684101
32,92.4,0.321693963
33,92.74,0.320441157
34,92.69,0.322889782
35,87.97,0.429716881
36,84.39,0.558306061
37,86.63,0.419895469
38,88.28,0.413212176
39,87.04,0.412354168
40,88.52,0.409194845
41,87.15,0.418731522
42,87.26,0.443276137
43,87.16,0.407480806
44,87.94,0.417390023
45,88.64,0.397153197
46,88.9,0.359575226
47,89.74,0.344535899
48,88.8,0.396021625
49,89.5,0.371418456
50,88.78,0.376806799
51,89.51,0.373442471
52,90.38,0.333879438
53,89.56,0.360732692
54,90.06,0.352321905
55,90.62,0.350621966
56,89.93,0.381524559
57,91.12,0.336159607
58,90.87,0.364649189
59,91.56,0.326078739
60,91.42,0.31695378
61,91.11,0.350898819
62,91.87,0.330880829
63,92.18,0.315981811
64,92.25,0.334494659
65,92.29,0.324274805
66,92.48,0.33112197
67,92.73,0.338796249
68,92.68,0.340738478
69,92.69,0.34079409
70,92.76,0.344743528
71,92.79,0.339158322
72,92.89,0.337746434
73,92.97,0.336836205
74,92.92,0.33651018
75,83.54,0.573584452
76,83.82,0.569288107
77,87.52,0.411855316
78,85.16,0.48883667
79,86.45,0.491447886
80,88.01,0.376595295
81,87.48,0.404832495
82,87.14,0.424321555
83,87.89,0.405451092
84,88.87,0.359441634
85,87.67,0.404974673
86,88.19,0.40519073
87,87.05,0.416227078
88,89.18,0.363208153
89,88.76,0.379217922
90,87.15,0.42622676
91,89.33,0.366618601
92,88.51,0.370456439
93,88.34,0.401203841
94,88.07,0.421344349
95,88.4,0.38744451
96,88.33,0.41656795
97,88.71,0.388634162
98,88.49,0.413383891
99,88.94,0.372715085
100,87.4,0.446178179
101,89.92,0.355363175
102,88.18,0.4123571
103,88.81,0.370314687
104,89.5,0.373566626
105,88.78,0.393286949
106,88.55,0.407534943
107,88.02,0.458011815
108,89.83,0.366621065
109,90.31,0.369033331
110,90.37,0.332841724
111,90.76,0.334194509
112,90.21,0.366422566
113,90.01,0.385188915
114,90.81,0.350837984
115,91.06,0.327279392
116,90.61,0.358438755
117,91.13,0.321267329
118,90.19,0.397456973
119,90.17,0.390452986
120,89.89,0.413512511
121,91.35,0.357105298
122,91.01,0.350411032
123,90.96,0.380107232
124,91.13,0.375608008
125,91.02,0.353993402
126,91.37,0.349551831
127,91.54,0.362790181
128,91.58,0.353536969
129,92.17,0.333920981
130,91.86,0.336598148
131,91.72,0.376710291
132,92.35,0.356145955
133,92.25,0.364972498
134,92.25,0.361591653
135,92.59,0.357594449
136,92.51,0.369532006
137,92.32,0.37117761
138,92.72,0.37485669
139,92.76,0.367884854
140,92.71,0.376537162
141,92.71,0.379370094
142,92.65,0.390054546
143,92.87,0.381771573
144,92.85,0.386489848
145,92.96,0.383859338
146,92.94,0.385176056
147,92.86,0.387960164
148,92.84,0.386046902
149,93,0.386384438
150,93.02,0.384670439
151,92.97,0.385042895
152,93.02,0.387941811
153,92.96,0.385009797
154,92.93,0.383608862
