Epoch,Accuracy,Loss
0,15.5,3.548073867
1,24.57,3.112805833
2,27.06,2.949436375
3,38.95,2.300453328
4,44.22,2.100319226
5,33.87,2.592605153
6,40.4,2.279421089
7,43.63,2.101727812
8,45.56,2.039071385
9,41.19,2.329457069
10,52.05,1.730394818
11,53.59,1.677335917
12,57.22,1.520515228
13,59.05,1.450387189
14,59.69,1.425448374
15,47.55,1.981615282
16,45.69,2.077674676
17,46.29,2.047633271
18,48.42,1.913472066
19,47.81,1.962707844
20,54.99,1.620170232
21,55.45,1.612407646
22,56.39,1.560503045
23,55.06,1.631580618
24,57.88,1.531279479
25,58.76,1.457083598
26,60.81,1.391295842
27,62.41,1.31894576
28,62.85,1.310309062
29,64.34,1.256586286
30,64.44,1.231714139
31,65.28,1.222150556
32,65.64,1.191667056
33,65.85,1.184976525
34,66.07,1.181315556
35,51.14,1.813829354
36,52.9,1.713145413
37,54.11,1.671556934
38,53.98,1.712315014
39,55.25,1.636463186
40,55.94,1.625623472
41,58.18,1.495799791
42,56.37,1.661722865
43,59.46,1.480740118
44,58.81,1.465319198
45,57.46,1.555300172
46,57.59,1.549456567
47,60.52,1.408461442
48,59.69,1.47944153
49,61.05,1.41384921
50,58.73,1.492780406
51,61.85,1.367938281
52,62.89,1.313648393
53,62.49,1.374395958
54,63.36,1.319844265
55,62.7,1.353673672
56,63.45,1.325762341
57,64.74,1.295196492
58,65.58,1.229174464
59,65.65,1.228726748
60,66.11,1.208870671
61,65.96,1.236793316
62,66.52,1.215177834
63,67.3,1.181082569
64,67.95,1.152103164
65,68.07,1.158249367
66,68.7,1.145892478
67,68.45,1.150213188
68,68.86,1.138244792
69,69.34,1.132489974
70,69.28,1.131939893
71,69.6,1.126041881
72,69.58,1.123012672
73,69.66,1.13063933
74,69.52,1.129092085
75,56.59,1.621898121
76,51.81,1.910027379
77,48.05,2.200537848
78,56.54,1.636456658
79,59.73,1.474836736
80,57.4,1.54154211
81,58.26,1.516219003
82,59.3,1.483558777
83,57.73,1.538244171
84,57.42,1.571712915
85,59.01,1.533269914
86,57.76,1.549955684
87,58.58,1.499993305
88,58.63,1.494600198
89,59.51,1.522511963
90,58.66,1.529028719
91,59.7,1.451565295
92,60.32,1.451667639
93,60.11,1.490789875
94,60.45,1.44444775
95,62.25,1.390916244
96,61.61,1.402040569
97,61.24,1.392645902
98,61.58,1.434714037
99,62.83,1.36157342
100,59.37,1.521402046
101,62.64,1.380335081
102,62.84,1.369676292
103,61.55,1.403461526
104,62.23,1.393287728
105,63.33,1.362481742
106,63.95,1.351576098
107,63.62,1.349895725
108,63.98,1.331500275
109,64.83,1.269375407
110,64.11,1.34159308
111,65.63,1.250217842
112,63.16,1.371857344
113,63.25,1.369098571
114,65.34,1.317496096
115,64.89,1.33754582
116,65.53,1.305943641
117,64.29,1.356529716
118,66.02,1.252123004
119,66.21,1.285947758
120,66.52,1.255969011
121,66.93,1.262580261
122,66.96,1.228354669
123,66.91,1.225125975
124,66.26,1.2611044
125,67.58,1.21960678
126,66.94,1.250401546
127,67.41,1.251652551
128,68.58,1.195384875
129,68.17,1.199353904
130,68.22,1.229126885
131,69.2,1.183160847
132,69.12,1.174009439
133,69.11,1.22233587
134,69.27,1.204496858
135,68.48,1.241782833
136,69.44,1.193710375
137,69.98,1.185146695
138,69.71,1.198805088
139,69.81,1.213345778
140,69.96,1.190010248
141,69.98,1.211797899
142,70,1.20801347
143,70.4,1.211267215
144,70.33,1.202287669
145,70.3,1.208017097
146,70.38,1.213997679
147,70.38,1.212416942
148,70.51,1.203769835
149,70.58,1.21073863
150,70.48,1.209344763
151,70.62,1.208488926
152,70.65,1.211680043
153,70.72,1.21476266
154,70.56,1.211455539
0,14.82,3.642807995
1,22.06,3.201602272
2,31.48,2.655373121
3,38.81,2.329634114
4,44.33,2.067682723
5,35.81,2.426487744
6,36.97,2.479025806
7,42.52,2.174538762
8,46.11,2.008550498
9,48.83,1.892815661
10,53.54,1.680446955
11,53.36,1.701585758
12,57.9,1.509098195
13,59.53,1.424570242
14,60.56,1.393416152
15,46.13,2.019907945
16,42.06,2.248153169
17,51.41,1.795034219
18,50.45,1.818893189
19,54.45,1.653757517
20,55.45,1.621194816
21,55.16,1.639125262
22,57.64,1.538829223
23,56.68,1.554725308
24,55.63,1.619200201
25,60.13,1.427406178
26,60.85,1.397394694
27,62.72,1.329556853
28,63.91,1.293863134
29,64.5,1.250817956
30,65.28,1.239945027
31,65.65,1.208280847
32,66.14,1.18700792
33,66.25,1.182467937
34,66.45,1.18271362
35,54.43,1.653368292
36,52.24,1.817719485
37,56.14,1.60013846
38,56.75,1.565182644
39,54.61,1.734284138
40,54.73,1.661640367
41,56.76,1.545514586
