Epoch,Accuracy,Loss
0,17.77,3.463945246
1,22.78,3.254676102
2,33.21,2.646373749
3,39.37,2.333035394
4,46.93,2.002962226
5,40.56,2.263234085
6,42.59,2.192182907
7,42.78,2.212489609
8,50.41,1.838555809
9,49.21,1.90615879
10,55.17,1.632934365
11,56.95,1.564597891
12,58.89,1.477881076
13,60.51,1.411941665
14,61.19,1.387689618
15,49.72,1.839414288
16,52.48,1.744988788
17,49.59,1.937926723
18,51.26,1.781648324
19,54.88,1.658207458
20,55.56,1.625058068
21,56.42,1.579408973
22,56.85,1.576793999
23,57.89,1.546835062
24,60.1,1.44123302
25,60.63,1.419036722
26,60.54,1.403689692
27,62.43,1.33104506
28,63.85,1.290079158
29,64.45,1.251511958
30,65.16,1.24556457
31,65.98,1.213184214
32,66.26,1.20140052
33,66.34,1.197027541
34,66.33,1.190459269
35,54.8,1.662423077
36,55.35,1.648218624
37,54.55,1.668472895
38,57.12,1.606230342
39,58.75,1.500348796
40,57.17,1.636980322
41,59.13,1.487648991
42,58.5,1.5550476
43,60.5,1.431973128
44,59.92,1.462338647
45,57.92,1.564561863
46,58.93,1.528184073
47,60.26,1.414081039
48,62.13,1.365617389
49,61.35,1.431853278
50,60.37,1.434890029
51,62.3,1.361931691
52,62.41,1.420088141
53,62.78,1.347494644
54,62.61,1.390121836
55,64.5,1.263618478
56,64.68,1.300333401
57,64.19,1.284492569
58,65.03,1.288119737
59,66.37,1.200587679
60,65.8,1.236678341
61,66.4,1.232341205
62,66.61,1.228632211
63,67.36,1.185669589
64,67.73,1.173970182
65,68.41,1.148552491
66,67.83,1.173464814
67,68.68,1.139733999
68,69.02,1.135086763
69,69,1.129851859
70,69.39,1.122187818
71,69.67,1.11561358
72,69.58,1.115576652
73,69.58,1.118901983
74,69.56,1.118755909
75,57.92,1.558559213
76,58.98,1.500028149
77,56.35,1.716797504
78,58.79,1.570551895
79,60.18,1.477078616
80,59.72,1.51111975
81,59.14,1.579808717
82,59.95,1.481775412
83,58.73,1.541250408
84,61.52,1.406366387
85,60.36,1.440424134
86,60.47,1.479180646
87,59.71,1.538292971
88,59.5,1.502024744
89,62.2,1.394092134
90,58.05,1.642451769
91,61.48,1.424295527
92,61.5,1.449418427
93,61.68,1.397450721
94,61.75,1.405146097
95,62.07,1.411787813
96,60.68,1.49965698
97,61.46,1.455466917
98,61.02,1.418812192
99,61.74,1.429982741
100,62.05,1.391110937
101,61.76,1.398222993
102,62.97,1.372947445
103,64.73,1.274150947
104,61.18,1.513858153
105,65.31,1.262492576
106,62.32,1.418619878
107,64.63,1.298032416
108,64.07,1.331224887
109,63.81,1.365631632
110,63,1.369902557
111,64.04,1.292129154
112,65.46,1.257772488
113,64.65,1.310802849
114,63.91,1.362739356
115,64.23,1.346551111
116,66.08,1.263261387
117,64.64,1.309436071
118,66.08,1.257140146
119,65.9,1.291498309
120,66.28,1.257137961
121,65.98,1.286689267
122,65.83,1.262489964
123,67.47,1.222765367
124,67.83,1.221526322
125,67.34,1.236484257
126,67.92,1.186738202
127,67.08,1.247880194
128,67.16,1.231651617
129,67.65,1.221639131
130,68.1,1.206435178
131,68.05,1.203783902
132,69,1.157221637
133,68.99,1.196013806
134,68.84,1.180085935
135,69.34,1.156176511
136,68.86,1.175966669
137,68.94,1.201007724
138,69.21,1.146372848
139,69.48,1.150767193
140,69.88,1.146412693
141,69.67,1.149594919
142,70.23,1.139477131
143,70.23,1.148168467
144,70.03,1.149904099
145,70.44,1.152678278
146,70.54,1.147193549
147,70.73,1.13527452
148,70.47,1.144699036
149,70.34,1.143159294
150,70.51,1.141267379
151,70.59,1.14362892
152,70.76,1.139502355
153,70.97,1.142079485
154,70.82,1.14026648
