Epoch,Accuracy,Loss
0,20.03,3.276810559
1,29.96,2.795857711
2,35.31,2.515564914
3,42.59,2.171829766
4,48.91,1.903773425
5,37.59,2.475608162
6,40.47,2.288497924
7,46.27,2.015459943
8,50.51,1.799783097
9,52.22,1.736315066
10,54.51,1.644407425
11,56.53,1.573534975
12,58.5,1.490719853
13,60.04,1.42305912
14,60.71,1.395992275
15,48.09,1.948088745
16,49.32,1.929872471
17,52.25,1.768811145
18,54.69,1.667292431
19,52.69,1.77667145
20,56.67,1.580506063
21,57.13,1.55042725
22,55.27,1.654428801
23,57.11,1.571296133
24,57.7,1.576527128
25,60.09,1.451305916
26,60.86,1.419904928
27,62.23,1.358468143
28,62.44,1.339493357
29,63.48,1.298072063
30,64.64,1.263152028
31,65.02,1.242002119
32,65.55,1.23086404
33,65.86,1.227728527
34,65.83,1.222056987
35,54.53,1.69450998
36,56.29,1.610364235
37,55.57,1.649112614
38,58.17,1.533440376
39,56.8,1.601016732
40,58.29,1.512313312
41,57.65,1.526740661
42,59.23,1.485443062
43,56.49,1.622541615
44,58.22,1.547757512
45,59.45,1.510844712
46,59.99,1.45130808
47,59.99,1.461637067
48,60.85,1.411797237
49,61.7,1.401635315
50,60.96,1.386289526
51,62.46,1.352648444
52,61.71,1.389203134
53,61.1,1.451201603
54,62.52,1.359603647
55,63.32,1.363079842
56,62.23,1.420087659
57,63.81,1.334095122
58,64.9,1.275544627
59,64.19,1.29624273
60,65.48,1.252992833
61,65.72,1.251721476
62,65.51,1.250338801
63,66.3,1.218583194
64,66.78,1.214997242
65,66.95,1.19251523
66,67.83,1.19106938
67,67.14,1.183438032
68,68.01,1.16291452
69,68.11,1.159154434
70,68.29,1.16429106
71,68.17,1.165378417
72,68.34,1.164908403
73,68.29,1.163175178
74,68.45,1.161017824
75,58.41,1.522567108
76,54.42,1.737560808
77,58.96,1.51860102
78,56.77,1.599910442
79,59.5,1.495205264
80,58.42,1.521462937
81,59.79,1.509559916
82,58.6,1.510170862
83,60.62,1.454328556
84,60.14,1.450822709
85,55.41,1.718265169
86,61.18,1.446780242
87,59.67,1.484539184
88,60.47,1.497658751
89,60.76,1.431443324
90,59.92,1.521941565
91,61.45,1.401130987
92,59.83,1.520197432
93,60.38,1.460076858
94,60.85,1.474528805
95,61.55,1.407050855
96,61.25,1.421201407
97,62.93,1.330517006
98,60.35,1.467401832
99,61.55,1.443527
100,61.88,1.414515127
101,63.08,1.35818136
102,63.81,1.34168096
103,61.62,1.437243382
104,62.21,1.381619764
105,61.21,1.445936039
106,63.3,1.347806261
107,63.5,1.353293171
108,62.9,1.374742889
109,62.94,1.365129775
110,64.51,1.30334995
111,64.08,1.318124856
112,63.56,1.352578746
113,64.88,1.268672555
114,65.01,1.283871495
115,63.97,1.351734711
116,64.69,1.317832417
117,64.63,1.309161651
118,65.79,1.284411481
119,65.42,1.284752058
120,66.24,1.256560016
121,64.51,1.342384184
122,66.59,1.259306401
123,66.68,1.25110878
124,66.27,1.282380207
125,67.08,1.232106222
126,67.28,1.209878802
127,67.41,1.236702536
128,67.61,1.198030162
129,67.59,1.214499312
130,67.37,1.241181673
131,68.16,1.198971383
132,68.28,1.197664817
133,68.94,1.178390163
134,68.47,1.189813151
135,68.2,1.193123851
136,68.5,1.182922833
137,69.05,1.175298776
138,69.06,1.171383053
139,69.01,1.183486587
140,69.27,1.179493352
141,69.5,1.171271423
142,69.33,1.164124489
143,69.35,1.165254554
144,69.3,1.172002251
145,69.64,1.166438132
146,69.79,1.163837731
147,69.75,1.149702819
148,69.92,1.161607026
149,69.95,1.157461571
150,69.78,1.15798882
151,70.12,1.15586398
152,70.13,1.152753094
153,69.98,1.153575138
154,70.02,1.155312144
