Epoch,Accuracy,Loss
0,20.17,3.284561642
1,27.18,2.903864524
2,34.36,2.546058123
3,42.45,2.187002366
4,47.02,1.991896867
5,36.43,2.494313887
6,43.33,2.13689116
7,43.25,2.147817946
8,48.41,1.914393225
9,50.95,1.809892903
10,53.13,1.728016473
11,53.49,1.68997244
12,57.12,1.556566592
13,58.76,1.488099504
14,58.94,1.465332603
15,49.94,1.872637385
16,49.03,1.887508789
17,51.97,1.768113747
18,50.52,1.841977268
19,54.11,1.647289442
20,54.39,1.672275587
21,52.84,1.738014759
22,56.77,1.548268242
23,55.76,1.594249426
24,58.29,1.489032762
25,58.98,1.451819113
26,59.41,1.459380447
27,59.8,1.422248563
28,60.54,1.39681371
29,61.47,1.344832293
30,62.87,1.297548184
31,63.31,1.280092221
32,63.69,1.269754133
33,63.76,1.258459171
34,64.06,1.257791816
35,54.44,1.668957794
36,53.93,1.667709984
37,55.66,1.627916859
38,54.84,1.649761162
39,55.62,1.595357499
40,56.02,1.59377054
41,55.84,1.638600575
42,56.32,1.579211486
43,57.61,1.544954334
44,58.52,1.503368714
45,57.79,1.508172556
46,58.69,1.501800171
47,57.7,1.557340042
48,60.08,1.424770981
49,60.07,1.409098952
50,59.91,1.430940798
51,59.98,1.433201146
52,59.03,1.470491292
53,61.63,1.3789838
54,60.59,1.408761155
55,61.81,1.387825384
56,62.87,1.326647104
57,61.4,1.417737083
58,63.24,1.311041458
59,63.11,1.319784534
60,62.98,1.334373004
61,64.43,1.256393843
62,64.1,1.25655798
63,63.72,1.286464081
64,65.36,1.237557111
65,65.26,1.215476551
66,65.16,1.219528994
67,66.12,1.200367585
68,66.28,1.197562869
69,66.72,1.185938614
70,66.6,1.181353173
71,66.62,1.176656235
72,66.62,1.174064375
73,66.84,1.174834218
74,66.54,1.169311373
75,55.37,1.665126861
76,55.67,1.62896911
77,59.2,1.473857586
78,58.38,1.509730642
79,56.63,1.610883193
80,57.67,1.544346412
81,55.68,1.649921511
82,56.88,1.565157103
83,57.73,1.556676072
84,56.85,1.654435256
85,59.84,1.460202485
86,53.05,1.81421846
87,58.55,1.51143314
88,57.93,1.519524828
89,59.72,1.426002493
90,58.83,1.52422029
91,59.33,1.494434512
92,58.26,1.534844313
93,58.45,1.503474644
94,59.09,1.462761592
95,60.68,1.432891544
96,58.47,1.579547353
97,59.56,1.441685376
98,60.42,1.420301679
99,59.18,1.495373933
100,60.09,1.407936705
101,62.33,1.341013603
102,60.74,1.445524532
103,60.78,1.40998884
104,61.95,1.377098579
105,61.01,1.412682691
106,60.22,1.456351773
107,62.59,1.332611454
108,62.04,1.370616314
109,62.81,1.357410908
110,57.65,1.559717701
111,62.81,1.331126674
112,63.06,1.311946559
113,63.74,1.298507007
114,63.43,1.326483582
115,63.16,1.311213255
116,63.24,1.301811238
117,62.39,1.373366047
118,64.71,1.256462751
119,64.42,1.279158907
120,62.46,1.371406042
121,64.31,1.289838424
122,64.56,1.281530168
123,63.98,1.317158805
124,65.48,1.245907831
125,64.98,1.278976516
126,65.7,1.242395875
127,65.08,1.253036206
128,65.8,1.239505451
129,65.6,1.231921453
130,65.46,1.235186267
131,65.69,1.234123364
132,66.86,1.179457032
133,66.75,1.20276972
134,66.59,1.207883008
135,66.59,1.194898272
136,67.07,1.179225426
137,67.09,1.172317074
138,66.85,1.186948557
139,67.24,1.183075199
140,67.75,1.156726341
141,67.97,1.157096742
142,67.85,1.171212075
143,67.98,1.166838278
144,67.82,1.157993967
145,68.1,1.150813648
146,68.19,1.146926578
147,68.03,1.147980884
148,68.13,1.141483985
149,68.27,1.144037448
150,68.35,1.146848276
151,68.49,1.143415899
152,68.4,1.139140242
153,68.35,1.141864536
154,68.31,1.146163409
